Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,34
2015,January  ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,130
2015,January  ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,28
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,30
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,25
2015,January  ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,21
2015,January  ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,20
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,93
2015,January  ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,8
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,16
2015,January  ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,13
2015,January  ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,7
2015,January  ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,16
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,125
2015,January  ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,13
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,17
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,68
2015,January  ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,10
2015,January  ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,12
2015,January  ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,10
2015,January  ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,13
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,13
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,113
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,115
2015,January  ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,31
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,30
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,33
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,23
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,8
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,AUBRAC,F,Birth Application,2
